000652,201506,ding
000652,201507-09,down
000652,201510-12,plat
000652,201601,down1
000652,201602-07,plat
000652,201608,up1
000652,201609-12,plat
000652,201701-03,plat
000652,201704,up1
000652,201705,ding
000652,201706-12,down
000652,201801-10,down
000652,201811,plat
000652,201812,plat
000652,201901,plat
000652,201902,up1
000652,201903,up3
000652,201904-12,plat
000652,202001,up1


000401,201705,ding
000401,201706,down
000401,201707-09,plat
000401,201710,down1
000401,201711,plat
000401,201801-03,plat
000401,201804,down1
000401,201805-06,down
000401,201807-10,plat
000401,201811,up1
000401,201812,up
000401,201901-03,up3
000401,201904,ding
000401,201905-06,up
000401,201907,ding
000401,201908,plat
000401,201909,plat
000401,201910,down1
000401,201911-12,plat
000401,202001,plat


002235,201506,ding
002235,201507,down
002235,201601-11,plat
002235,201612,down1
002235,201701-03,plat
002235,201704,down1
002235,201705-12,down
002235,201801-05,plat
002235,201806,down1
002235,201807-12,down
002235,201901,down
002235,201902-03,up
002235,201904,ding
002235,201905-09,plat
002235,201910,up1
002235,201911-12,plat
002235,202001,up1

002019,201711,ding
002019,201712,plat
002019,201801-03,plat
002019,201804,down1
002019,201805-10,down
002019,201811-12,plat
002019,201901,down1
002019,201902-03,up
002019,201904,up3
002019,201905,ding
002019,201906-11,plat
002019,201912,up1
002019,202001,up3

002371,201705-08,plat
002371,201709,up1
002371,201710-12,up
002371,201801,ding
002371,201802,plat
002371,201803,up1
002371,201804,up
002371,201805,ding
002371,201806-09,plat
002371,201810,down1
002371,201811-12,plat
002371,201901,up1
002371,201902,up
002371,201903,up3
002371,201904,ding
002371,201905-09,plat
002371,201910,up1
002371,201911,up
002371,201912,up3
002371,202001,up3


002236,201901,down
002236,201902,up1
002236,201903,ding
002236,201904,plat
002236,201905,plat
002236,201906,plat
002236,201907-08,plat
002236,201909,up1
002236,201910-11,plat
002236,201912,up1

600031,201901,up1
600031,201902,up
600031,201903,up3
600031,201904-06,plat
600031,201907,up1
600031,201908-11,plat
600031,201912,up1
600031,202001,ding

002273,201901,plat
002273,201902,up1
002273,201903,up
002273,201904-06,plat
002273,201907,up1
002273,201908,up
002273,201909,up3
002273,201910-11,plat
002273,201912,up1
002273,202001,plat

000977,201901,plat
000977,201902,up1
000977,201903,up
000977,201904-07,plat
000977,201908,up1
000977,201909-10,plat
000977,201911,up1
000977,201912,up
000977,202001,up3

600745,201901,plat
600745,201902,up
600745,201903,up
600745,201904,up3
600745,201905-06,plat
600745,201907,up1
600745,201908,up
600745,201909,up3
600745,201910,up3
600745,201911,up3
600745,201912,plat
600745,202001,up1












